title,author,date,views,likes,link
Are brain waves the secret to treating Alzheimer's?,Li-Huei Tsai,August 2021,766000,23000,https://ted.com/talks/li_huei_tsai_are_brain_waves_the_secret_to_treating_alzheimer_s
Blood concrete and dynamite: Building the Hoover Dam,Alex Gendler,December 2021,724000,21000,https://ted.com/talks/alex_gendler_blood_concrete_and_dynamite_building_the_hoover_dam
How gratitude rewires your brain,Christina Costa,March 2021,1400000,44000,https://ted.com/talks/christina_costa_how_gratitude_rewires_your_brain
How your brain invents your 'self',Anil Seth,October 2021,1500000,47000,https://ted.com/talks/anil_seth_how_your_brain_invents_your_self
How to make radical climate action the new normal,Al Gore,October 2021,1500000,47000,https://ted.com/talks/al_gore_how_to_make_radical_climate_action_the_new_normal
The brain science of obesity,Mads Tang-Christensen,September 2021,1700000,52000,https://ted.com/talks/mads_tang_christensen_the_brain_science_of_obesity
How to stop languishing and start finding flow,Adam Grant,August 2021,2600000,80000,https://ted.com/talks/adam_grant_how_to_stop_languishing_and_start_finding_flow
How do governments create money out of thin air?,Jonathan Smith,July 2021,781000,23000,https://ted.com/talks/jonathan_smith_how_do_governments_create_money_out_of_thin_air
How your body could become its own diagnostic lab,Aaron Morris,May 2021,1400000,44000,https://ted.com/talks/aaron_morris_how_your_body_could_become_its_own_diagnostic_lab
The woman who stared at the sun,Alex Gendler,May 2021,1900000,57000,https://ted.com/talks/alex_gendler_the_woman_who_stared_at_the_sun
What happens to your brain during a migraine?,Marianne Schwarz,May 2021,2800000,85000,https://ted.com/talks/marianne_schwarz_what_happens_to_your_brain_during_a_migraine
The science behind how parents affect child development,Yuko Munakata,April 2019,2400000,72000,https://ted.com/talks/yuko_munakata_the_science_behind_how_parents_affect_child_development
How one design flaw almost toppled a skyscraper,Alex Gendler,May 2021,712000,21000,https://ted.com/talks/alex_gendler_how_one_design_flaw_almost_toppled_a_skyscraper
What frogs in hot water can teach us about thinking again,Adam Grant,April 2021,1600000,48000,https://ted.com/talks/adam_grant_what_frogs_in_hot_water_can_teach_us_about_thinking_again
Demolition disease and death: Building the Panama Canal,Alex Gendler,April 2021,724000,21000,https://ted.com/talks/alex_gendler_demolition_disease_and_death_building_the_panama_canal
The intergenerational wisdom woven into Indigenous stories,Tai Simpson,April 2019,1100000,34000,https://ted.com/talks/tai_simpson_the_intergenerational_wisdom_woven_into_indigenous_stories
How the world's tallest skyscraper was built,Alex Gendler,April 2021,770000,23000,https://ted.com/talks/alex_gendler_how_the_world_s_tallest_skyscraper_was_built
Why are airplanes slower than they used to be?,Alex Gendler,April 2021,2200000,66000,https://ted.com/talks/alex_gendler_why_are_airplanes_slower_than_they_used_to_be
Step 1: The Pulse,ZigZag,March 2021,1100000,34000,https://ted.com/talks/zigzag_step_1_the_puls_e
The 15-minute city,Carlos Moreno,October 2020,1400000,42000,https://ted.com/talks/carlos_moreno_the_15_minute_city
How your brain responds to stories and why they're crucial for leaders,Karen Eber,February 2020,1800000,54000,https://ted.com/talks/karen_eber_how_your_brain_responds_to_stories_and_why_they_re_crucial_for_leaders
The life cycle of a cup of coffee,A.J. Jacobs,January 2021,1100000,34000,https://ted.com/talks/a_j_jacobs_the_life_cycle_of_a_cup_of_coffee
Who counts as a speaker of a language?,Anna Babel,February 2020,1500000,47000,https://ted.com/talks/anna_babel_who_counts_as_a_speaker_of_a_language_dec_2020
Building the world's largest (and most controversial) power plant,Alex Gendler,December 2020,810000,24000,https://ted.com/talks/alex_gendler_building_the_world_s_largest_and_most_controversial_power_plant
Can you solve the monster duel riddle?,Alex Gendler,December 2020,1800000,55000,https://ted.com/talks/alex_gendler_can_you_solve_the_monster_duel_riddle
Can you solve the Alice in Wonderland riddle?,Alex Gendler,November 2020,1600000,48000,https://ted.com/talks/alex_gendler_can_you_solve_the_alice_in_wonderland_riddle
Performing brain surgery without a scalpel,Hyunsoo Joshua No,September 2020,245000,7300,https://ted.com/talks/hyunsoo_joshua_no_performing_brain_surgery_without_a_scalpel
A stock market for social justice,ZigZag,August 2020,1500000,46000,https://ted.com/talks/zigzag_a_stock_market_for_social_justice
How do our brains process speech?,Gareth Gaskell,July 2020,568000,17000,https://ted.com/talks/gareth_gaskell_how_do_our_brains_process_speech
The Egyptian myth of the death of Osiris,Alex Gendler,July 2020,2500000,77000,https://ted.com/talks/alex_gendler_the_egyptian_myth_of_the_death_of_osiris
The new urgency of climate change,Al Gore,June 2020,2300000,70000,https://ted.com/talks/al_gore_the_new_urgency_of_climate_change
What yoga does to your body and brain,Krishna Sudhir,June 2020,2200000,68000,https://ted.com/talks/krishna_sudhir_what_yoga_does_to_your_body_and_brain
Which voting system is the best?,Alex Gendler,June 2020,856000,25000,https://ted.com/talks/alex_gendler_which_voting_system_is_the_best
The true cost of financial dependence,Estelle Gibson,October 2019,2200000,67000,https://ted.com/talks/estelle_gibson_the_true_cost_of_financial_dependence
How do ventilators work?,Alex Gendler,May 2020,2300000,70000,https://ted.com/talks/alex_gendler_how_do_ventilators_work
Can we edit memories?,Amy Milton,March 2019,2300000,70000,https://ted.com/talks/amy_milton_can_we_edit_memories
The mental health benefits of storytelling for health care workers,Laurel Braitman,April 2019,1800000,56000,https://ted.com/talks/laurel_braitman_the_mental_health_benefits_of_storytelling_for_health_care_workers
A new way to 'grow' islands and coastlines,Skylar Tibbits,April 2019,283000,8500,https://ted.com/talks/skylar_tibbits_a_new_way_to_grow_islands_and_coastlines
The wonders of the molecular world animated,Janet Iwasa,April 2019,460000,13000,https://ted.com/talks/janet_iwasa_the_wonders_of_the_molecular_world_animated
A history of Indigenous languages and how to revitalize them,Lindsay Morcom,February 2019,2000000,61000,https://ted.com/talks/lindsay_morcom_a_history_of_indigenous_languages_and_how_to_revitalize_them
The intangible effects of walls,Alexandra Auer,February 2019,2100000,63000,https://ted.com/talks/alexandra_auer_the_intangible_effects_of_walls_apr_2020
How the world's longest underwater tunnel was built,Alex Gendler,March 2020,2800000,85000,https://ted.com/talks/alex_gendler_how_the_world_s_longest_underwater_tunnel_was_built
A fascinating time capsule of human feelings toward AI,Lucy Farey-Jones,April 2019,1900000,59000,https://ted.com/talks/lucy_farey_jones_a_fascinating_time_capsule_of_human_feelings_toward_ai
